Country,lessthan5_50,Continent,FPI,FDI,FIEI
Malawi,96.7,Africa,18001.0,0.0825556218624115,0.324361354112625
Malaysia,2.7,Asia,2429761.0,0.6498459577560419,0.809355616569519
Maldives,54.3,Asia,37737.0,0.17961433529853799,0.7286226153373722
Mali,94.9,Africa,12038.0,0.14128188788890803,0.749180436134338
Malta,0.2,Europe,103526.0,0.535207271575928,0.7788512706756591
Mauritania,58.8,Africa,10822.0,0.11040887981653201,0.5000512003898621
Mauritius,12.7,Africa,88239.0,0.419070899486542,0.7233781218528751
Mexico,23.0,North America,5819335.0,0.414424598217011,0.6097550988197329
Mongolia,28.9,Asia,51227.0,0.382117420434952,0.678649604320526
Morocco,31.3,Africa,984641.0,0.361021041870117,0.663614749908447
Mozambique,91.8,Africa,52976.0,0.144520029425621,0.510242819786072
Myanmar,67.2,Asia,317722.0,0.130752429366112,0.755705058574677
Namibia,50.1,Africa,85359.0,0.401065319776535,0.707208335399628
Netherlands,0.5,Europe,6005014.0,0.7164794206619259,0.8272908926010129
New Zealand,,Oceania,566797.0,0.5905407667160029,0.806135654449463
Nicaragua,34.8,North America,65974.0,0.147599443793297,0.54111909866333
Niger,93.4,Africa,9704.0,0.128547117114067,0.732707321643829
Nigeria,92.0,Africa,634434.0,0.229546934366226,0.581216514110565
Norway,0.5,Europe,1062346.0,0.6649656891822809,0.6477642059326171
Oman,,Asia,237201.0,0.39146366715431197,0.775904655456543
Pakistan,76.0,Asia,961296.0,0.23933754861354803,0.7519639730453491
Panama,12.7,North America,125155.0,0.33859685063362105,0.730784893035889
Papua New Guinea,86.9,Oceania,18520.0,0.216594383120537,0.6428053975105289
Paraguay,17.0,South America,199529.0,0.12279055267572399,0.243554428219795
Peru,22.1,South America,872279.0,0.373565465211868,0.5987250804901121
Philippines,30.8,Asia,1913429.0,0.36652714014053295,0.7394739985466
Poland,2.1,Europe,5628459.0,0.473860591650009,0.759535670280457
Portugal,1.8,Europe,1666766.0,0.7215030789375309,0.686947524547577
Qatar,,Asia,231493.0,0.530623972415924,0.8261111378669742
Romania,15.6,Europe,1264442.0,0.30938628315925604,0.711741745471954
Rwanda,91.6,Africa,20173.0,0.0917395800352097,0.37844854593277
Samoa,33.9,Oceania,11724.0,0.20346198976039898,0.5927286744117739
Saudi Arabia,,Asia,2194895.0,0.509154796600342,0.369877427816391
Senegal,88.1,Africa,119772.0,0.11101273447275199,0.45904329419136
Seychelles,6.6,Africa,18017.0,0.30775678157806396,0.7524769902229309
Sierra Leone,92.1,Africa,9946.0,0.0677961856126785,0.357044488191605
Singapore,,Asia,1733921.0,0.7135196924209591,0.7922576665878299
Slovenia,0.1,Europe,1266490.0,0.381862461566925,0.758444607257843
Solomon Islands,84.7,Oceania,3388.0,0.0918684229254723,0.431194633245468
South Africa,57.1,Africa,1226400.0,0.6309988498687739,0.7421877980232242
South Sudan,84.8,Africa,196.0,0.0598079636693001,0.37387743592262296
Spain,2.2,Europe,4522109.0,0.873402655124664,0.7522792816162109
Sri Lanka,40.5,Asia,457259.0,0.27259489893913297,0.7554075121879581
Sudan,73.2,Africa,117169.0,0.10871744155883802,0.614104330539703
Suriname,55.7,South America,10655.0,0.207793027162552,0.645522952079773
Sweden,0.5,Europe,2587012.0,0.7764437794685359,0.7961733341217041
Switzerland,0.0,Europe,1529491.0,0.9639585018157959,0.744142770767212
Tajikistan,54.2,Asia,91942.0,0.0928808301687241,0.389449030160904
Thailand,8.6,Asia,2380747.0,0.753043293952942,0.7742626070976261
Togo,90.1,Africa,22137.0,0.174670666456223,0.671395659446716
Tonga,27.5,Asia,1225.0,0.229621157050133,0.7640336155891422
Trinidad and Tobago,32.9,South America,102583.0,0.366355389356613,0.654819488525391
Tunisia,18.3,Africa,393146.0,0.24119623005390198,0.616491198539734
Turkey,3.0,"Asia, Europe",3611252.0,0.508769452571869,0.612529695034027
Turkmenistan,92.5,Asia,146302.0,0.11770968884229699,0.7120350003242489
Uganda,87.8,Africa,120881.0,0.10177443176508,0.487455725669861
Ukraine,4.0,Europe,949042.0,0.217541500926018,0.48909759521484397
United Arab Emirates,,Asia,1998983.0,0.462620407342911,0.397788196802139
Uruguay,2.9,South America,115791.0,0.24814370274543804,0.5264209508895871
Uzbekistan,96.4,Asia,781532.0,0.180488035082817,0.48476257920265203
Vanuatu,72.3,Oceania,1917.0,0.196998730301857,0.58803915977478
Zambia,87.2,Africa,78041.0,0.1170639321208,0.45213517546653703
